"dma_json_code","date","keyword","hits","ratio"
"US-AL",2015-12-01,"%2Fm%2F027vd9",21,1.54291308667755
"US-AL",2016-01-01,"%2Fm%2F027vd9",34,1.54291308667755
"US-AL",2016-02-01,"%2Fm%2F027vd9",49,1.54291308667755
"US-AL",2016-03-01,"%2Fm%2F027vd9",39,1.54291308667755
"US-AL",2016-04-01,"%2Fm%2F027vd9",41,1.54291308667755
"US-AL",2016-05-01,"%2Fm%2F027vd9",32,1.54291308667755
"US-AL",2016-06-01,"%2Fm%2F027vd9",26,1.54291308667755
"US-AL",2016-07-01,"%2Fm%2F027vd9",22,1.54291308667755
"US-AL",2016-08-01,"%2Fm%2F027vd9",19,1.54291308667755
"US-AL",2016-09-01,"%2Fm%2F027vd9",41,1.54291308667755
"US-AL",2016-10-01,"%2Fm%2F027vd9",35,1.54291308667755
"US-AL",2016-11-01,"%2Fm%2F027vd9",48,1.54291308667755
"US-AL",2016-12-01,"%2Fm%2F027vd9",22,1.54291308667755
"US-AL",2017-01-01,"%2Fm%2F027vd9",24,1.54291308667755
"US-AL",2017-02-01,"%2Fm%2F027vd9",38,1.54291308667755
"US-AL",2017-03-01,"%2Fm%2F027vd9",29,1.54291308667755
"US-AL",2017-04-01,"%2Fm%2F027vd9",29,1.54291308667755
"US-AL",2017-05-01,"%2Fm%2F027vd9",33,1.54291308667755
"US-AL",2017-06-01,"%2Fm%2F027vd9",27,1.54291308667755
"US-AL",2017-07-01,"%2Fm%2F027vd9",23,1.54291308667755
"US-AL",2017-08-01,"%2Fm%2F027vd9",29,1.54291308667755
"US-AL",2017-09-01,"%2Fm%2F027vd9",35,1.54291308667755
"US-AL",2017-10-01,"%2Fm%2F027vd9",29,1.54291308667755
"US-AL",2017-11-01,"%2Fm%2F027vd9",26,1.54291308667755
"US-AL",2017-12-01,"%2Fm%2F027vd9",30,1.54291308667755
"US-AL",2018-01-01,"%2Fm%2F027vd9",30,1.54291308667755
"US-AL",2018-02-01,"%2Fm%2F027vd9",37,1.54291308667755
"US-AL",2018-03-01,"%2Fm%2F027vd9",40,1.54291308667755
