us_state,date,num_of_searches,bully_type
US-LA,2016-11-01,30,schbully
US-LA,2016-12-01,16,schbully
US-LA,2017-01-01,15,schbully
US-LA,2017-02-01,29,schbully
US-LA,2017-03-01,22,schbully
US-LA,2017-04-01,33,schbully
US-LA,2017-05-01,28,schbully
US-LA,2017-06-01,0,schbully
US-LA,2017-07-01,22,schbully
US-LA,2017-08-01,24,schbully
US-LA,2017-09-01,37,schbully
US-LA,2017-10-01,27,schbully
US-LA,2017-11-01,20,schbully
US-LA,2017-12-01,51,schbully
US-LA,2018-01-01,33,schbully
US-LA,2018-02-01,16,schbully
US-LA,2018-03-01,40,schbully
